compound|predicate|object|pmid
recombinant tissue-type plasminogen activator|treats|canine|1900221
Kistrin|isa|platelet GPIIb/IIIa receptor antagonist|1900221
antivenom|part_of|equine|9237341
antithrombin III|treats|coagulopathy|9237341
antivenom|treats|coagulopathy|9237341
antivenom|treats|Coagulopathy|9237341
SQ 20858|disrupts|blood pressure|174133
SQ 20858|treats|lowering blood pressure|174133
synthetic peptide|inhibits|angiotensin converting enzyme|174133
angiotensin converting enzyme|associated_with|renal hypertension|174133
Norepinephrine|affects|cardiovascular functions|7913643
angiotensin II|treats|patients|7913643
renin|part_of|renal venous|234677
aldosterone|interacts_with|venom|1588674
renin|interacts_with|venom|1588674
vasopressin|administered_to|rat|3051054
tachykinins|neg_disrupts|brain|3051054
angiotensin II|interacts_with|eledoisin|3051054
renin|associated_with|renal dysfunction|8296375
diuretic|stimulates|cGMP|11304508
DNP|associated_with|CHF|11304508
DNP|augments|glomerular filtration rate|11304508
dendroaspis natriuretic peptide|associated_with|congestive heart failure|11304508
Natriuretic peptides|isa|hormones|17440808
BNP|interacts_with|peptide receptor|17440808
BNP|part_of|heart|17440808
BNP|part_of|organs|17440808
ANP|interacts_with|peptide receptor|17440808
ANP|part_of|heart|17440808
ANP|part_of|organs|17440808
cyclic guanosine monophosphate|affects|natriuresis|17440808
aldosterone|stimulates|NPR-A|17440808
renin|stimulates|NPR-A|17440808
NPs|treats|heart failure|17440808
NPs|associated_with|syndromes|17440808
phospholipase|augments|blood pressure|17897713
melittin|interacts_with|pressor|17897713
melittin|stimulates|adrenaline|17897713
melittin|stimulates|vasopressin|17897713
melittin|stimulates|noradrenaline|17897713
melittin|coexists_with|adrenaline|17897713
melittin|coexists_with|vasopressin|17897713
melittin|coexists_with|noradrenaline|17897713
prazosin|treats|rats|17897713
angiotensin II receptor antagonist|treats|normotensive|17897713
melittin|augments|blood pressure|17897713
angiotensin|predisposes|muscle atrophy|22673782
neutral endopeptidase|stimulates|natriuretic peptides|22942338
angiotensin-converting enzyme inhibitors|inhibits|angiotensin receptor|22942338
cardiovascular agents|inhibits|angiotensin receptor|22942338
therapeutic agents|treats|hypertension|22942338
therapeutic agents|treats|HF|22942338
therapeutic agents|treats|cardiovascular disease|22942338
chemotactic factor|affects|myocardium|303050
cobra venom factor|part_of|Dogs|303050
cobra venom factor|treats|dogs|303050
Trasylol|treats|dogs|303050
cobra venom factor|treats|ischemia|303050
cobra venom factor|prevents|tissue damage|641147
cobra venom factor|prevents|myocardial necrosis|641147
methadone|prevents|pain|1136977
diphenylhydantoin|prevents|pain|1136977
amitriptyline|prevents|pain|1136977
analgesics|administered_to|patients|1136977
complement|compared_with|antibody|2170825
complement|higher_than|antibody|2170825
antibody|disrupts|NK cells|2170825
antibody|coexists_with|NK|2170825
carrageenan|interacts_with|NK|2170825
antibodies|compared_with|antibodies|2170825
antibodies|higher_than|antibodies|2170825
antibodies|disrupts|cytotoxic T lymphocytes|2170825
antibodies|disrupts|natural killer cells|2170825
antibodies|affects|lysis|2233757
complement component C3|part_of|human|2233757
monoclonal antibodies|affects|lysis|2233757
complement|stimulates|monoclonal antibody 3F8|2233757
F(ab|coexists_with|complement|2233757
F(ab|compared_with|3F8 antibody|2233757
complement|affects|bronchoconstriction|2312187
cobra venom factor|affects|bronchoconstriction|2312187
CVF|inhibits|lung compliance|2312187
cobra venom factor|augments|bronchoconstriction|2312187
cobra venom factor|part_of|cells|2314052
antibodies|part_of|animals|2314052
catalase|inhibits|lipoxygenase|2314052
catalase|inhibits|thromboxane synthetase|2314052
antivenom|treats|patients|2389328
Anticholinesterase|neg_treats|paralysis|2389328
antivenom|part_of|cobra|2389328
antivenom|part_of|Bungarus caeruleus|2389328
cobra venom factor|treats|baboon|3191598
ibuprofen|prevents|infiltration|3191598
CVF|prevents|infiltration|3191598
complement|affects|injury|3191598
Complement|causes|myocardial injury|3191598
cobra venom factor|affects|host's|3286521
complement component|affects|irradiation|3286521
anticholinesterase drugs|treats|adults|3537783
edrophonium|treats|patient|3537783
edrophonium|treats|signs|3537783
edrophonium|treats|patients|3537783
cobra venom factor|part_of|animals|3599107
complement|part_of|rats|3716753
cobra venom factor|stimulates|complement|3716753
cobra venom factor|treats|rats|3716753
cobra venom factor|stimulates|glucocorticoids|3716753
C3-C9|isa|complement components|4588307
cobra venom factor|prevents|generalized Shwartzman reaction|4588307
antivenin|part_of|cobra|6625268
Cobra venom factor|stimulates|complement|6696049
cobra venom factor|augments|complement activation|6696049
indomethacin|treats|rats|7234970
cobra venom factor|treats|rats|7234970
cobra venom factor|treats|parameters|7347767
type II collagen|causes|polyarthritis|7347767
cobra venom factor|treats|cancer model|7493340
cobra venom|stimulates|complement|7493340
mab|compared_with|CVF|7493340
CVF|interacts_with|CVF|7493340
venoms|neg_affects|coagulopathy|8036678
Mercuric chloride|causes|autoimmunity|8082302
HgCl2|stimulates|autoantibodies|8082302
cobra venom factor|affects|vasculitis|8082302
GPI 562|disrupts|platelet aggregation|8693522
GPI 562|affects|graft survival|8693522
GPI 562|affects|platelet aggregation|8693522
CVF|coexists_with|GPI 562|8693522
immune complexes|stimulates|cobra venom factor|8755663
myeloperoxidase|disrupts|permeability|8755663
myeloperoxidase|disrupts|lung|8755663
myeloperoxidase|part_of|lung|8755663
myeloperoxidase|augments|vascular permeability|8755663
sCR1|interacts_with|C4b|8779679
alpha neurotoxins|administered_to|rabbits|8896193
Naja haje venoms|administered_to|rabbits|8896193
venoms|interacts_with|venoms|8896193
antivenom|interacts_with|venom|8896193
antibody|causes|injury|9371665
monoclonal antibodies|associated_with|cytotoxicity|9413745
complement|part_of|human|9413745
CVF|coexists_with|complement|9413745
anti-tumor antibodies|part_of|tumor|9413745
CVF|treats|PHN|9430849
CVF|part_of|rats|9430849
antivenom|neg_associated_with|symptoms|9509180
peripheral nerve myelin|part_of|nerve|9522271
Cobra Venom Factor|part_of|rats|9522271
peripheral nerve myelin|part_of|rats|9522271
Cobra Venom Factor|compared_with|peripheral nerve myelin|9522271
CR1|affects|Experimental Allergic Neuritis|9522271
CVF|treats|rats|9522271
sCR1|part_of|rats|9522271
sCR1|inhibits|complement|9522271
cobra venom factor|treats|experimental allergic neuritis|9522271
CVF|treats|monkey|10029251
CVF|treats|monkeys|10029251
CVF|administered_to|monkeys|10029251
antigen|administered_to|monkeys|10029251
saline|administered_to|control animals|10600909
cobra venom factor|inhibits|complement|10606985
CVF|isa|treatment|10606985
CVF|treats|disease|10606985
DAF|augments|gastritis|10623859
DAF|part_of|guinea pig|10623859
DAF|part_of|epithelium|10623859
DAF|part_of|epithelial cells|10623859
complement|affects|injury|11136932
cobra venom factor|part_of|animals|11136932
saline|isa|injection|11136932
saline|uses|saline|11136932
CVF|treats|brain edema|11136932
epoprostenol|prevents|spasms|11208190
CVF|administered_to|animals|11208190
CVF|coexists_with|epoprostenol|11208190
cobra venom factor|prevents|reperfusion injury|11208190
cobra venom factor|prevents|proteinuria|11253115
CVF|treats|rats|11253115
epitope|stimulates|monoclonal antibody|11253115
albumin|associated_with|PHN|11253115
antigen|associated_with|PHN|11253115
cobra venom factor|neg_prevents|neuronal loss|11278106
cobra venom factor|neg_prevents|atrophy|11278106
cobra venom factor|neg_prevents|edema|11278106
cobra venom factor|administered_to|Rats|11344557
immune complexes|causes|type III Arthus reaction|11441099
complement|associated_with|immune complex-mediated corneal disease|11441099
cobra venom factor|part_of|mice|11441099
Fc gamma receptors|associated_with|corneal inflammation|11441099
Cobra venom factor|augments|polymorphonuclear leukocytes|11446502
CVF|interacts_with|complement|11446502
CVF|treats|Rats|11446502
Complement|associated_with|myocardial ischemia-reperfusion injury|11446502
neutrophil elastase|associated_with|injury|11525781
neutrophil elastase inhibitor|administered_to|hamsters|11525781
CVF|isa|injection|11525781
CVF|uses|CVF|11525781
sivelestat|disrupts|elastase activity|11525781
neutrophil elastase|associated_with|acute lung injury|11525781
Complement|causes|tissue damage|11764002
cobra venom factor|inhibits|EDTA|11764002
K-76|part_of|Rats|11764002
cobra venom|causes|multiple-organ failure|15619012
C|causes|hypocomplementemia|15802558
snake venom|inhibits|nucleic acid|15813633
venom|coexists_with|nucleic acid|15813633
Snake venom|inhibits|nucleic acids|15813633
nucleic acid|associated_with|breast cancer|15813633
glucocorticoids|isa|treatments|15830600
intravenous fluids|isa|treatments|15830600
antiserum|treats|dogs|15830600
complement|associated_with|cerebral injury|15854749
cobra venom factor|prevents|cerebral injury|15854749
NaCl|part_of|guinea-pigs|16251069
zinc protoporphyrin|inhibits|HO-1|16251069
cobra venom factor|part_of|donors|16251069
protein|part_of|transplanted livers|16251069
cobra venom factor|stimulates|complement|16782534
complement|produces|complement inhibitors|16782534
CVF|stimulates|TNFalpha|16782534
complement factors|stimulates|complement|16782534
cobra venom factor|administered_to|rats|16782534
Complement inhibitors|disrupts|injury|16782534
toxin|associated_with|symptoms|16817641
MCTX|compared_with|toxin|16817641
complement|affects|graft survival|17175243
Y-CVF|prevents|humoral allograft rejection|17175243
Y-CVF|disrupts|humoral allograft rejection|17175243
cyclosporin A|inhibits|graft rejection|17991145
CVF|inhibits|complement membrane attack complex|17991145
CVF|augments|hearts|17991145
CSA|administered_to|rats|17991145
anti-C6 IgG|administered_to|rats|17991145
CVF|administered_to|rats|17991145
CVF|administered_to|rats|17991145
anti-C6 antibodies|administered_to|rats|17991145
complement proteins|coexists_with|complement|17991145
antivenom|administered_to|patients|19439335
ChEs|affects|aryl acylamidase (AAA) activity|19695303
enzyme|affects|aryl acylamidase (AAA) activity|19695303
cobra venom|coexists_with|AAA|19695303
cholinesterases|associated_with|pathogenesis|19695303
cobra venom|interacts_with|drugs|19695303
cobra venom|interacts_with|AAA|19695303
AAA|associated_with|AChE|19695303
acetylcholinesterase|affects|aryl acylamidase activity|19695303
Cobra venom|causes|arthritis|19825384
snake venom|associated_with|arthritis|19825384
opiates|isa|analgesics|21614945
opiates|treats|abuse|21614945
opiates|treats|adverse effects|21614945
opiate|isa|analgesics|21614945
complements|administered_to|rats|22666742
serum|part_of|liver|22666742
serum|part_of|livers|22666742
cobra venom factor|part_of|livers|22666742
CVC|disrupts|cells|22888519
SSRP|disrupts|growth|22888519
cytotoxin|affects|tumor|22888519
ricin|affects|tumor|22888519
cobra venom factor|interacts_with|complement inhibitor|23588254
CVF|inhibits|hyperalgesia|23588254
CVF|administered_to|rats|23588254
complements|affects|hyperalgesia|23588254
complement C3|associated_with|neuropathic pain|23588254
cardiotoxins|isa|cobra venom|23711147
cardiotoxins|augments|necrotic|23711147
complete Freund's adjuvant|treats|rats|19169271
nicotinic receptor|interacts_with|cholinergic system|19169271
IL-1|produces|TNF-alpha|19169271
IL-2|stimulates|IL-10|19169271
MLA|inhibits|analgesic|19169271
cytokines|affects|arthritis|19169271
naloxone|neg_inhibits|analgesic effect|21841815
cholinergic system|affects|inflammatory pain|21841815
venom|causes|fall|2077181
antivenin|part_of|habu|2077181
norepinephrine|part_of|aorta|2077181
venom|affects|vasorelaxant|2077181
batroxobin|part_of|mice|6083965
aprotinin|causes|toxicity|6083965
batroxobin|causes|toxicity|6083965
aprotinin|part_of|rats|6083965
CSF|part_of|brain|6202636
Melittin|stimulates|kallikrein|6202636
kinins|affects|cardiovascular function|6202636
scorpion Tityus serrulatus venom|causes|lung oedema|9440240
scorpion venom|administered_to|rats|9440240
heparin|causes|arterial hypertension|9440240
heparin|causes|lung oedema|9440240
scorpion venom|causes|lung oedema|9440240
aprotinin|neg_prevents|arterial hypertension|9440240
scorpion venom|causes|arterial hypertension|9440240
venom|augments|lung oedema|9440240
scorpion venom|causes|Lung oedema|9440240
venom|interacts_with|kinins|9637372
aprotinin|inhibits|bradykinin|9637372
icatibant|inhibits|bradykinin|9637372
icatibant|part_of|animals|9637372
venom|part_of|animals|9637372
bradykinin|coexists_with|plasma kinin|9637372
kinins|interacts_with|venom|9637372
scorpion venom|interacts_with|plasma kinins|9637372
aprotinin|inhibits|protease|19236611
aprotinin|isa|plasmin inhibitor|19236611
aprotinin|compared_with|aprotinin|19236611
plasmin inhibitor|inhibits|protease|19236611
plasmin inhibitor|compared_with|aprotinin|19236611
aprotinin|inhibits|protease|19236611
aprotinin|disrupts|fibrinolysis|19236611
aprotinin|treats|blood loss|19236611
aprotinin|inhibits|plasmin|19236611
anti-bleeding agent|treats|blood loss|19236611
Bee venom|disrupts|edema|474306
complete Freund's adjuvant|disrupts|polyarthritis|474306
albumin|part_of|egg|474306
corticosteroids|affects|immune response|474306
bee venom|part_of|patients|546252
bee venom|associated_with|bee sting hypersensitivity|546252
BV-specific IgG|part_of|patients|546252
antibodies|coexists_with|antibodies|838994
blocking antibody|coexists_with|bee venom|1172815
bee venom|causes|collapse|1359383
anti-allergic|isa|medication|1551035
honey bee venom|prevents|side effects|1551035
hymenoptera venoms|treats|patients|1897686
albumin|part_of|human|2419385
allergens|inhibits|allergenicity|2419385
albumin|isa|polymer|2419385
WVAP|isa|WVAP|2419385
albumin polymer preparations|isa|polymer|2737470
albumin|isa|polymer|2737470
VAP|isa|VAP|2737470
WFHVAP|isa|WFHVAP|2737470
VAP preparations|isa|VAP|2737470
hymenoptera venoms|treats|anaphylaxis|2737470
albumin|part_of|human|2737470
bee-venom|isa|allergens|3349595
antigen-|interacts_with|antibodies|3349595
isotype|interacts_with|antibodies|3349595
bee-venom|isa|antigens|3349595
venom|administered_to|patients|3711549
yellow jacket venom|administered_to|patients|3711549
bee venom|part_of|patient|3711549
antibodies|coexists_with|antibodies|3770979
antibodies|affects|protection|3770979
bee venom|associated_with|anaphylaxis|4071339
bee venom|disrupts|oedema|4152780
melittin|compared_with|mepyramine|4152780
albumin|disrupts|increased vascular permeability|4152780
methysergide|inhibits|increased vascular permeability|4152780
mepyramine|inhibits|increased vascular permeability|4152780
medications|treats|patients|6146275
beta-blockers|treats|patients|6146275
venom|disrupts|arthritis|6177321
cytochrome P-450|isa|treatments|6177321
heme oxygenase|part_of|microsomal|6177321
bee venom|administered_to|rats|6177321
microsomal enzymes|part_of|hepatic|6177321
venom|augments|heme metabolism|6177321
bee venom|isa|antigens|6619452
melittin|coexists_with|antibody|6619452
antibody|interacts_with|antigen|6619452
bee venom|isa|antigen|6619452
antibody|interacts_with|bee venom|6619452
venom|part_of|patients|7313646
bee venom|part_of|Wistar rats|7472785
bee venom|associated_with|infarct|7472785
noradrenaline|part_of|cardiac tissue|8054829
noradrenaline|treats|Wistar rats|8054829
ABV|part_of|animals|8054829
allergen|associated_with|bee sting allergy|8833918
bee venom|part_of|patients|8833918
cytokines|part_of|T cell|8833918
bee venom|isa|allergens|8835130
Antibody|interacts_with|royal jelly|8835130
peptides|coexists_with|immunodominant region|9257793
allergen|affects|cytokine secretion|9257793
c-Fos|interacts_with|morphine|9739136
bee venom|causes|pain|9739136
c-Fos protein|part_of|spinal cord|9739136
PLA2|augments|cells|10442531
purinoceptor|inhibits|P2x receptor|10643796
purinoceptor|stimulates|bee venom|10643796
bee venom|causes|pain|10643796
drug|affects|heat hyperalgesia|10793237
PKC|augments|sensitization|10793237
bee venom|causes|heat hyperalgesia|10793237
fexofenadine|prevents|side-effects|10843430
phospholipase A2|part_of|CBA/J mice|10898500
PLA2-specific IgE|coexists_with|IgG2a|10898500
PLA2|part_of|mice|10898500
bee venom|stimulates|histamine|11039839
Bee venom|stimulates|histamine|11039839
Freund's adjuvant|isa|injection|11207399
Freund's adjuvant|uses|Freund's adjuvant|11207399
BV|compared_with|injection|11207399
BV|causes|analgesic effect|11207399
allergens|part_of|recombinant|11340327
venom-specific IgE antibodies|compared_with|venom allergens|11340327
mast-cell-specific enzyme tryptase|associated_with|allergy|11340327
venom allergens|part_of|recombinant|11340327
bee venom|compared_with|acupuncture|11527062
wasp venoms|isa|allergens|11815741
anti-IgE|part_of|Basophils|11815741
anti-IgE|isa|antibody|11815741
allergen|part_of|Basophils|11815741
antibody|part_of|Basophils|11815741
IgE receptor|causes|histamine release|11815741
IgE receptor|causes|upregulation|11815741
Freund's adjuvant|isa|injection|12031688
Freund's adjuvant|uses|Freund's adjuvant|12031688
interleukin-6|causes|RA|12031688
bee venom|coexists_with|bee venom|12109787
tryptase|coexists_with|bee venom|12109787
venom|part_of|patients|12464961
capsaicin|treats|human volunteers|12536045
melittin|causes|hyperalgesia|12536045
Melittin|predisposes|neurogenic inflammation|12536045
capsaicin|treats|humans|12536045
melittin|compared_with|capsaicin|12536045
melittin|causes|neurogenic inflammation|12536045
ibotenic acid|isa|neurotoxin|12717146
ibotenic acid|part_of|RMM|12717146
BV|causes|heat hyperalgesia|12717146
Hoe 140|disrupts|oedema|12755378
BV|causes|oedema|12755378
BV|causes|inflammatory response|12755378
nitric oxide|stimulates|histamine receptor|12755378
tachykinins|interacts_with|kinins|12755378
venom|causes|inflammatory response|12755378
bee venom|interacts_with|venom|12782086
bee venom|disrupts|tumor growth|12782086
bee venom|disrupts|cell proliferation|12782086
NMDA|compared_with|NMDA receptor|12885421
bee venom|stimulates|calcium|14644579
bee venom|stimulates|sodium alginate|14644579
bee venom|coexists_with|liposome|14644579
melittin|isa|bee venom|14722668
immunoconjugates|compared_with|MAb|14722668
immunoconjugates|disrupts|tumour growth|14722668
ABV|administered_to|experimental animals|15057338
bee crude venom|part_of|animals|15311679
Apis mellifera venom|administered_to|mice|15311679
idazoxan|disrupts|alpha2-adrenoceptor|15336634
opioid receptors|affects|spinal cord|15336634
opioid receptors|affects|thermal hyperalgesia|15336634
melittin|causes|inflammation|15882816
TGF-beta1|affects|aromatase activity|15894134
aromatase|part_of|human|15894134
bee venom|interacts_with|aromatase|15894134
NMDA|isa|aspartate|15950221
acetylcholine|affects|anti-inflammatory effect|15953592
cholinergic antagonist|isa|nicotinic cholinergic antagonist|15953592
acetylcholine|part_of|spinal cord|15953592
receptors|augments|SPNs|15953592
muscarinic type 2 receptors|affects|anti-inflammatory effect|15953592
bee venom|part_of|Beekeepers|15985817
bee venom|part_of|family members|15985817
bee venom|affects|adjuvant-induced arthritis|15999553
BV|disrupts|inflammation|15999553
SIL|disrupts|cells|16315243
type II collagen|part_of|bovine|16457792
type II collagen|part_of|Sprague-Dawley rats|16457792
adrenergic receptor|associated_with|inflammatory pain|16457792
bee venom|coexists_with|phosphate buffer|16599259
Bee venom|associated_with|block|16599259
copolymer|neg_interacts_with|bee venom|16599259
Bee venom|coexists_with|cortical|16774771
venom|augments|injury|16774771
bee venom|part_of|patient|16889280
Nitric oxide|associated_with|anaphylaxis|16937763
NO|interacts_with|NO|16937763
NO|associated_with|anaphylaxis|16937763
bee venom|affects|adjuvant induced arthritis|17213605
bee venom|part_of|rats|17213605
TNF-alpha|isa|cytokine|17213605
Bee venom|inhibits|TNF-alpha|17213605
Bee venom|inhibits|IL-1 beta|17213605
BV|interacts_with|melittin|17303203
MMPs|stimulates|tumor necrosis factor alpha|17303203
MMPs|stimulates|LPS|17303203
MMPs|stimulates|interleukin 1beta|17303203
melittin|neg_inhibits|MMPs 1|17303203
melittin|inhibits|MMP 3|17303203
MMPs 1|inhibits|MMP 3|17303203
MMP 3|affects|chondrocytes|17303203
matrix metalloproteinase 3|interacts_with|melittin|17303203
polypeptide|disrupts|cancer cells|17363137
LHR|causes|cell death|17363137
PKA and PKC|affects|inflammation|17544210
PKA inhibitor|inhibits|PKC|17544210
H-89|inhibits|hyperalgesia|17544210
PKA and PKC|affects|hyperalgesia|17544210
PKA and PKC|affects|nociception|17544210
BV|affects|arthritis|17555825
BV|interacts_with|BV|17555825
c-Fos|part_of|spinal cord|17555825
bee venom|affects|cancer|17555825
bee venom|interacts_with|melittin|18212480
Mellitin|neg_interacts_with|IL-1beta|18212480
MMP3|neg_inhibits|MMP1|18212480
melittin|affects|rheumatoid|18212480
matrix metalloproteinase-1|interacts_with|melittin|18212480
saline|isa|injection|18226968
saline|uses|saline|18226968
SIL|disrupts|cells|18300479
BV|interacts_with|cholecystokinin octapeptide|18376296
interleukin 1|produces|tumor necrosis factor-alpha|18376296
BV|associated_with|AP|18376296
bee venom|affects|pancreatitis|18376296
p38|part_of|neurons|18445299
p38|part_of|microglia|18445299
p-p38|part_of|neurons|18445299
vitamin D|isa|medicine|18631428
GM-CSF|part_of|bone marrow cells|18790041
costimulatory|inhibits|BV|18790041
BV|interacts_with|immune-modulatory|18790041
bee venom|isa|antigens|19001136
antigens|causes|bee stings|19001136
bee venom|causes|bee stings|19001136
cytotoxic T lymphocyte-associated antigen 4|disrupts|T cell|19001136
bee venom|causes|analgesic effect|19010737
sera|part_of|Sera|19538349
venom-specific IgE|interacts_with|FAB|19538349
Honey-Bee venom|treats|individuals|19853357
MMP-9|affects|MCF-7 cells|19969058
Bee venom|disrupts|cell invasion|19969058
Bee venom|disrupts|phosphorylation|19969058
melittin|inhibits|MMP-9|19969058
Bee venom|inhibits|MMP-9|19969058
Bee venom|inhibits|p38|19969058
Bee venom|inhibits|NF-kappaB|19969058
bee venom|part_of|Mice|20034453
BV|causes|arthritis|20379856
BV|associated_with|CIA|20379856
Bee pollen|treats|people|20447747
Bee pollen|treats|allergy|20447747
Bee pollen|treats|children|20447747
bee venom|interacts_with|glucocorticoids|20457243
saline|administered_to|control group|20457243
metyrapone|treats|rabbits|20457243
bee venom|causes|signs|20558236
bee venom|administered_to|people|20558236
saline|isa|injection|20696145
saline|uses|saline|20696145
formalin|disrupts|nociception|20696145
BV|disrupts|nociception|20696145
Bee venom|affects|pain|20821823
Bee venom|affects|inflammation|20821823
Carbon tetrachloride|causes|hepatotoxicity|20821823
CCl4|causes|hepatic fibrosis|20821823
BV|affects|inflammation|20821823
CCl4|part_of|mice|20821823
alpha-smooth muscle actin|part_of|smooth muscle|20821823
BV|inhibits|transforming growth factor (TGF)-beta1|20821823
BV|inhibits|fibronectin|20821823
BV|inhibits|alpha-smooth muscle actin|20821823
TNF-alpha|inhibits|IL-1beta|20821823
BV|part_of|ETH|20821823
BV|inhibits|cytokines|20821823
Bee venom|disrupts|hepatic fibrosis|20821823
Bee venom|associated_with|arthritis|20950451
BV|associated_with|inflammatory reactions|20950451
Bee venom|associated_with|inflammatory diseases|20950451
bee venom|disrupts|neuron loss|20950451
Bee venom|affects|anti-inflammatory effect|20950451
BV|disrupts|caspase-3 activity|20950451
methamphetamine|treats|mice|20950675
BV|interacts_with|BV|20950675
BV|stimulates|Fos|20950675
BV|affects|NA|20950675
BV|affects|LC|20950675
BV|affects|SN|20950675
BV|compared_with|supplementation|20952702
melittin|affects|arthritis|21061459
melittin|isa|bee venom|21061459
cellular adhesion molecules|neg_interacts_with|BV|21061462
BV|augments|gene regulation|21061462
BV|inhibits|intercellular adhesion molecule-1|21061462
bee venom|disrupts|cell proliferation|21682930
melittin|disrupts|neuron loss|21682930
p38|part_of|spinal cord|21682930
p38|part_of|brainstem|21682930
honey bee venom|treats|chronic inflammatory disease|21756243
PGF2|augments|basophil activation|21843104
bee venom|isa|allergens|21843104
glial fibrillary acidic protein|affects|nociception|21889580
DBV|inhibits|adrenoceptor|21889580
tumor necrosis factor (TNF)-alpha|causes|inflammatory reactions|21928088
bee venom|disrupts|inflammatory reactions|21928088
melittin|affects|liver cells|21928088
melittin|administered_to|Mice|21928088
Melittin|inhibits|caspase|21928088
melittin|inhibits|cytokines|21928088
melittin|affects|apoptosis|21928088
melittin|affects|inflammation|21928088
hyaluronic acid|treats|osteoarthritis|21963244
venom|disrupts|side effects|22104605
bee venom|isa|allergens|22104605
Bee venom|isa|toxin|22109081
melittin|isa|bee venom|22109081
melittin|stimulates|PLA2|22109081
matrix metalloproteinases|causes|cell death|22109081
melittin|stimulates|immunomodulatory|22109081
bee venom|affects|tumor cells|22109081
melittin|associated_with|cancers|22109081
DBV|causes|analgesic effects|22217441
DBV|inhibits|pNR1|22217441
DBV|affects|neuropathic pain|22217441
DBV|disrupts|neuropathic pain|22217441
DBV|causes|analgesic effect|22217441
bee venom|affects|phosphorylation|22217441
wasp venom|causes|anaphylaxis|22409877
Pharmalgen|treats|allergy|22409877
HDA|compared_with|HDA|22409877
chemotherapeutic agents|causes|nerve damage|22898064
Melittin|isa|bee venom|22995146
bee venom|coexists_with|prostaglandin|22995146
Melittin|coexists_with|prostaglandin|22995146
pressor|treats|rats|22995146
histamine|part_of|extracellular|22995146
melittin|stimulates|histamine|22995146
pressor|interacts_with|melittin|22995146
insect venom|administered_to|AUTHORS|23076950
cytokines|associated_with|asthma|23121887
BV|disrupts|asthma|23121887
IL2|produces|cytokines|23121887
IL4|produces|cytokines|23121887
IL2|produces|Th1|23121887
IL17|produces|Th1|23121887
IL17|produces|cytokines|23121887
IL4|produces|Th1|23121887
cytokine|produces|IL10|23121887
ovalbumin|augments|regulatory T cells|23121887
BV|associated_with|toxicity|23375112
Bee venom|affects|erythropoiesis|23375112
endogenous opioid|predisposes|inflammation|23574036
bee venom|causes|inflammatory response|23574036
Bee venom|coexists_with|normal saline|23642945
bee venom|associated_with|diseases|23936001
MEL|affects|cells|23936001
MEL|inhibits|VEGF|23936001
MEL|disrupts|cancer progression|23936001
Melittin|inhibits|VEGF|23936001
cancer drugs|causes|peripheral neuropathic pain|23985901
bee venom|associated_with|pain|23985901
opioid receptors|interacts_with|DBV|23985901
adrenoceptors|interacts_with|DBV|23985901
opioid receptor antagonist|neg_interacts_with|DBV|23985901
oxaliplatin|treats|mice|23985901
PBV|disrupts|acnes|24063779
PBV|part_of|microorganism|24063779
drug|treats|acne vulgaris|24063779
PBV|isa|drug|24063779
PBV|treats|acne vulgaris|24063779
bee venom|causes|bee stings|24134690
bee venom|causes|immune tolerance|24912908
honey-bee venom|treats|beekeepers|24912908
neurotoxins|coexists_with|taipan venom|7570884
toxins|inhibits|toxins|8896191
Val|coexists_with|BmK|8896191
Ile|coexists_with|BmK|8896191
Lys|interacts_with|neurotoxins|8896191
Lys|interacts_with|receptor|8896191
neurotoxins|coexists_with|venom|10628285
sodium channels|part_of|kidney|11826163
sodium|part_of|extracellular|11826163
antivenom|treats|spider envenomation|12165044
neurotoxin|causes|syndrome|12165044
Neurotoxins|causes|paralysis|12165047
neurotoxins|coexists_with|venoms|12165047
venoms|part_of|families|12165047
neurotoxins|inhibits|nicotinic receptor|12165047
neurotoxins|affects|nervous tissues|15519751
curare|interacts_with|neurotoxins|17265902
drugs|treats|pain|17399793
drugs|treats|neurological disorders|17399793
Drugs|augments|neural circuits|17499645
PNV|administered_to|rats|17499645
neurotoxins|affects|neuromuscular junction transmission|20096908
peptidic|isa|ingredients|20358687
discharges|associated_with|paralysis|20840850
toxin|causes|epileptic|20840850
alpha-conotoxin|coexists_with|amino acids|23414173
scorpion venom|converts_to|peptides|24252544
agonists|augments|protein-mediated activation|8613234
G protein alpha-subunit|stimulates|phospholipase C|8613234
phospholipase C|interacts_with|phospholipase C|8613234
G protein|affects|cell membrane|8613234
G proteins|associated_with|hypertension|8613234
venom|stimulates|protein C|1904199
hirudin|inhibits|thrombomodulin|1904199
antivenoms|treats|mice|1904199
Echistatin|disrupts|platelet aggregation|1946598
batroxobin|interacts_with|endotoxin|6359574
Russell's viper venom|affects|blood coagulation|6737775
fibrinogen degradation products|augments|fibrinolysis|6737775
Russell's viper venom|affects|fibrinolysis|6737775
antithrombin III|stimulates|tissue factor|7974711
thrombomodulin|stimulates|tissue factor|7974711
cytokines|associated_with|cellular infiltrate|7974711
antivenom|treats|patient|8730340
antivenom|part_of|Crotalus durissus|9655642
antivenom|part_of|pit vipers|10218750
protein complex|inhibits|factor VIIa|16707924
venom|causes|poisoning|17265904
venom|causes|necrosis|17265904
Dapsone|treats|dermal lesions|17265904
carrageenin|causes|inflammatory response|7537590
phospholipase A2|coexists_with|venom|7537590
toxic non-enzymatic chaperon protein|interacts_with|crotapotin|7537590
crotapotin|affects|platelet aggregation|7537590
crotapotin|affects|cell degranulation|7537590
